timestamp_utc,timestamp_brt,nivel,n_focos,linhas_afetadas,estado,destinatario,status
2026-06-08 15:40:35,08/06/2026 12:40 BRT,ALTO,1,LT 230 kV Juba - Brasnorte C1,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 15:40:38,08/06/2026 12:40 BRT,ALTO,1,LT 230 kV Juba - Brasnorte C1,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 15:42:24,08/06/2026 12:42 BRT,ALTO,1,LT 230 kV Juba - Brasnorte C1,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 15:42:27,08/06/2026 12:42 BRT,ALTO,1,LT 230 kV Juba - Brasnorte C1,Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 18:14:17,08/06/2026 15:14 BRT,CRÍTICO,44,"LT 230 kV Pedra Branca - Sobradinho C1; LT 230 kV Milagres - Tauá II C1; LT 230 kV Punaú - Ceará Mirim II C1; LT 230 kV Punaú - Ceará Mirim II C1; LT 440 kV Fernão Dias - Taubaté, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 18:44:50,08/06/2026 15:44 BRT,CRÍTICO,44,"LT 230 kV Pedra Branca - Sobradinho C1; LT 230 kV Milagres - Tauá II C1; LT 230 kV Punaú - Ceará Mirim II C1; LT 230 kV Punaú - Ceará Mirim II C1; LT 440 kV Fernão Dias - Taubaté, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 19:13:49,08/06/2026 16:13 BRT,CRÍTICO,82,"LT 500 kV Bom Despacho 3 - Jaguara, C2; LT 500 kV Teresina IV - Graça Aranha, C1; LT 230 kV Teresina - Coelho Neto C1; LT 500 kV Tianguá II - Teresina II, C2; LT 230 kV UEE Formosa - Massapê II C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 19:23:50,08/06/2026 16:23 BRT,CRÍTICO,37,"LT 230 kV Pedra Branca - Sobradinho C1; LT 230 kV Milagres - Tauá II C1; LT 500 kV Cachoeira Paulista - Fernão Dias, C1; LT 500 kV Cachoeira Paulista - Fernão Dias, C1; LT 345 kV Itutinga - Jeceaba, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 19:36:05,08/06/2026 16:36 BRT,CRÍTICO,260,"LT 500 kV Bom Despacho 3 - Jaguara, C2; LT 230 kV Pedra Branca - Sobradinho C1; LT 230 kV Milagres - Tauá II C1; LT 500 kV Teresina IV - Graça Aranha, C1; LT 230 kV Teresina - Coelho Neto C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 19:36:09,08/06/2026 16:36 BRT,CRÍTICO,260,"LT 500 kV Bom Despacho 3 - Jaguara, C2; LT 230 kV Pedra Branca - Sobradinho C1; LT 230 kV Milagres - Tauá II C1; LT 500 kV Teresina IV - Graça Aranha, C1; LT 230 kV Teresina - Coelho Neto C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 19:44:47,08/06/2026 16:44 BRT,CRÍTICO,82,"LT 500 kV Bom Despacho 3 - Jaguara, C2; LT 500 kV Teresina IV - Graça Aranha, C1; LT 230 kV Teresina - Coelho Neto C1; LT 500 kV Tianguá II - Teresina II, C2; LT 230 kV UEE Formosa - Massapê II C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 19:55:12,08/06/2026 16:55 BRT,CRÍTICO,37,"LT 230 kV Pedra Branca - Sobradinho C1; LT 230 kV Milagres - Tauá II C1; LT 500 kV Cachoeira Paulista - Fernão Dias, C1; LT 500 kV Cachoeira Paulista - Fernão Dias, C1; LT 345 kV Itutinga - Jeceaba, C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 19:59:15,08/06/2026 16:59 BRT,CRÍTICO,260,"LT 500 kV Bom Despacho 3 - Jaguara, C2; LT 230 kV Pedra Branca - Sobradinho C1; LT 230 kV Milagres - Tauá II C1; LT 500 kV Teresina IV - Graça Aranha, C1; LT 230 kV Teresina - Coelho Neto C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 19:59:19,08/06/2026 16:59 BRT,CRÍTICO,260,"LT 500 kV Bom Despacho 3 - Jaguara, C2; LT 230 kV Pedra Branca - Sobradinho C1; LT 230 kV Milagres - Tauá II C1; LT 500 kV Teresina IV - Graça Aranha, C1; LT 230 kV Teresina - Coelho Neto C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
2026-06-08 20:15:14,08/06/2026 17:15 BRT,CRÍTICO,135,"LT 230 kV Teresina - Coelho Neto C1; LT 230 kV Teresina - Coelho Neto C1; LT 230 kV Teresina - Coelho Neto C1; LT 345 kV UTE GNA I - Campos, C1; LT 500 kV Poços de Caldas - Ribeirão Preto C1",Todos,nielsen.mgbr@gmail.com,ENVIADO
