din_instante,irradiancia_wm2,temperatura_c,vento_ms,nuvens_pct,regiao,latitude,longitude,hora,mes
2024-01-01 00:00:00,0.0,25.65,1.72,98.82,Nordeste,-8.0,-40.0,0,1
2024-01-01 01:00:00,0.0,25.28,1.66,93.09,Nordeste,-8.0,-40.0,1,1
2024-01-01 02:00:00,0.0,24.84,1.75,97.17,Nordeste,-8.0,-40.0,2,1
2024-01-01 03:00:00,0.0,24.46,1.86,99.24,Nordeste,-8.0,-40.0,3,1
2024-01-01 04:00:00,0.0,24.21,1.88,99.61,Nordeste,-8.0,-40.0,4,1
2024-01-01 05:00:00,6.4,24.11,1.75,100.0,Nordeste,-8.0,-40.0,5,1
2024-01-01 06:00:00,65.3,24.44,1.97,100.0,Nordeste,-8.0,-40.0,6,1
2024-01-01 07:00:00,144.45,25.16,2.56,100.0,Nordeste,-8.0,-40.0,7,1
2024-01-01 08:00:00,223.02,26.1,2.87,99.35,Nordeste,-8.0,-40.0,8,1
2024-01-01 09:00:00,449.85,27.09,2.86,97.88,Nordeste,-8.0,-40.0,9,1
2024-01-01 10:00:00,606.35,27.97,2.99,96.39,Nordeste,-8.0,-40.0,10,1
2024-01-01 11:00:00,616.33,28.54,3.02,91.15,Nordeste,-8.0,-40.0,11,1
2024-01-01 12:00:00,664.8,28.87,2.69,93.93,Nordeste,-8.0,-40.0,12,1
2024-01-01 13:00:00,668.3,29.09,2.3,84.15,Nordeste,-8.0,-40.0,13,1
2024-01-01 14:00:00,455.73,29.12,2.3,86.95,Nordeste,-8.0,-40.0,14,1
2024-01-01 15:00:00,260.88,29.26,2.5,94.46,Nordeste,-8.0,-40.0,15,1
2024-01-01 16:00:00,135.35,28.92,2.61,93.4,Nordeste,-8.0,-40.0,16,1
2024-01-01 17:00:00,29.1,27.64,1.74,92.91,Nordeste,-8.0,-40.0,17,1
2024-01-01 18:00:00,0.0,26.32,1.46,89.18,Nordeste,-8.0,-40.0,18,1
2024-01-01 19:00:00,0.0,25.89,1.4,94.25,Nordeste,-8.0,-40.0,19,1
2024-01-01 20:00:00,0.0,25.52,1.44,95.14,Nordeste,-8.0,-40.0,20,1
2024-01-01 21:00:00,0.0,25.13,1.53,84.53,Nordeste,-8.0,-40.0,21,1
2024-01-01 22:00:00,0.0,24.77,1.68,83.59,Nordeste,-8.0,-40.0,22,1
2024-01-01 23:00:00,0.0,24.46,1.82,68.25,Nordeste,-8.0,-40.0,23,1
2024-01-02 00:00:00,0.0,24.15,1.99,64.94,Nordeste,-8.0,-40.0,0,1
2024-01-02 01:00:00,0.0,23.85,2.09,78.17,Nordeste,-8.0,-40.0,1,1
2024-01-02 02:00:00,0.0,23.53,2.12,75.89,Nordeste,-8.0,-40.0,2,1
2024-01-02 03:00:00,0.0,23.28,2.2,59.87,Nordeste,-8.0,-40.0,3,1
2024-01-02 04:00:00,0.0,23.11,2.39,53.02,Nordeste,-8.0,-40.0,4,1
2024-01-02 05:00:00,9.38,23.09,2.68,59.21,Nordeste,-8.0,-40.0,5,1
2024-01-02 06:00:00,112.72,23.93,3.47,65.46,Nordeste,-8.0,-40.0,6,1
2024-01-02 07:00:00,253.93,25.55,3.8,71.58,Nordeste,-8.0,-40.0,7,1
2024-01-02 08:00:00,448.08,28.1,3.56,76.92,Nordeste,-8.0,-40.0,8,1
2024-01-02 09:00:00,586.72,30.29,2.97,83.11,Nordeste,-8.0,-40.0,9,1
2024-01-02 10:00:00,705.15,32.02,2.4,89.4,Nordeste,-8.0,-40.0,10,1
2024-01-02 11:00:00,727.08,33.24,1.91,91.41,Nordeste,-8.0,-40.0,11,1
2024-01-02 12:00:00,749.33,33.95,1.47,60.5,Nordeste,-8.0,-40.0,12,1
2024-01-02 13:00:00,643.95,34.22,1.17,90.02,Nordeste,-8.0,-40.0,13,1
2024-01-02 14:00:00,485.45,33.99,1.05,83.19,Nordeste,-8.0,-40.0,14,1
2024-01-02 15:00:00,341.77,33.34,1.18,85.67,Nordeste,-8.0,-40.0,15,1
2024-01-02 16:00:00,176.4,31.93,1.67,82.06,Nordeste,-8.0,-40.0,16,1
2024-01-02 17:00:00,37.17,29.76,2.02,79.13,Nordeste,-8.0,-40.0,17,1
